epochs, batch_size, lrate, decay, truefalse, final_accuracy
(50, 32, 1.0, 0.02, 1, 27.927927927927925)
(50, 32, 5.0, 0.1, 0, 27.927927927927925)
(50, 32, 5.0, 0.1, 1, 26.126126126126124)
(50, 32, 10.0, 0.2, 0, 27.927927927927925)
(50, 32, 10.0, 0.2, 1, 27.927927927927925)
(50, 32, 100.0, 2.0, 0, 26.126126126126124)
(50, 32, 100.0, 2.0, 1, 27.927927927927925)
(50, 64, 1e-06, 2e-08, 0, 27.927927927927925)
(50, 64, 1e-06, 2e-08, 1, 27.92792797491357)
(50, 64, 1e-05, 2.0000000000000002e-07, 0, 27.927927927927925)
(50, 64, 1e-05, 2.0000000000000002e-07, 1, 27.927927927927925)
(50, 64, 0.0001, 2e-06, 0, 36.03603617028073)
(50, 64, 0.0001, 2e-06, 1, 38.73873873873874)
(50, 64, 0.001, 2e-05, 0, 29.729729917672305)
(50, 64, 0.001, 2e-05, 1, 33.33333337360674)
(50, 64, 0.01, 0.0002, 0, 35.13513521568195)
(50, 64, 0.01, 0.0002, 1, 27.927927927927925)
(50, 64, 0.1, 0.002, 0, 27.927927927927925)
(50, 64, 0.1, 0.002, 1, 27.927927927927925)
(50, 64, 0.5, 0.01, 0, 27.927927927927925)
(50, 64, 0.5, 0.01, 1, 27.927927927927925)
(50, 64, 1.0, 0.02, 0, 26.126126126126124)
(50, 64, 1.0, 0.02, 1, 27.927927927927925)
(50, 64, 5.0, 0.1, 0, 27.927927927927925)
(50, 64, 5.0, 0.1, 1, 26.126126126126124)
(50, 64, 10.0, 0.2, 0, 26.126126126126124)
(50, 64, 10.0, 0.2, 1, 27.927927927927925)
(50, 64, 100.0, 2.0, 0, 26.126126126126124)
(50, 64, 100.0, 2.0, 1, 26.126126126126124)
(50, 128, 1e-06, 2e-08, 0, 27.927927927927925)
(50, 128, 1e-06, 2e-08, 1, 26.12612622009741)
(50, 128, 1e-05, 2.0000000000000002e-07, 0, 27.927927927927925)
(50, 128, 1e-05, 2.0000000000000002e-07, 1, 27.927927927927925)
(50, 128, 0.0001, 2e-06, 0, 32.43243256667713)
(50, 128, 0.0001, 2e-06, 1, 27.927927927927925)
(50, 128, 0.001, 2e-05, 0, 33.333333427304616)
(50, 128, 0.001, 2e-05, 1, 36.036036223978606)
(50, 128, 0.01, 0.0002, 0, 43.243243377487936)
(50, 128, 0.01, 0.0002, 1, 27.927927927927925)
(50, 128, 0.1, 0.002, 0, 27.927927927927925)
(50, 128, 0.1, 0.002, 1, 27.927927927927925)
(50, 128, 0.5, 0.01, 0, 27.927927927927925)
(50, 128, 0.5, 0.01, 1, 27.927927927927925)
(50, 128, 1.0, 0.02, 0, 27.927927927927925)
(50, 128, 1.0, 0.02, 1, 26.126126126126124)
(50, 128, 5.0, 0.1, 0, 26.126126126126124)
(50, 128, 5.0, 0.1, 1, 26.126126126126124)
(50, 128, 10.0, 0.2, 0, 27.927927927927925)
(50, 128, 10.0, 0.2, 1, 27.927927927927925)
(50, 128, 100.0, 2.0, 0, 27.927927927927925)
(50, 128, 100.0, 2.0, 1, 26.126126126126124)
(100, 8, 1e-06, 1e-08, 0, 27.927927927927925)
(100, 8, 1e-06, 1e-08, 1, 27.927927927927925)
(100, 8, 1e-05, 1.0000000000000001e-07, 0, 35.135135161984074)
(100, 8, 1e-05, 1.0000000000000001e-07, 1, 29.729729776715374)
(100, 8, 0.0001, 1e-06, 0, 34.234234328205524)
(100, 8, 0.0001, 1e-06, 1, 29.729729823701017)
(100, 8, 0.001, 1e-05, 0, 33.33333370921848)
(100, 8, 0.001, 1e-05, 1, 27.027027402912175)
(100, 8, 0.01, 0.0001, 0, 27.927927927927925)
(100, 8, 0.01, 0.0001, 1, 27.927927927927925)
(100, 8, 0.1, 0.001, 0, 21.62162162162162)
(100, 8, 0.1, 0.001, 1, 21.62162162162162)
(100, 8, 0.5, 0.005, 0, 21.62162162162162)
(100, 8, 0.5, 0.005, 1, 27.927927927927925)
(100, 8, 1.0, 0.01, 0, 26.126126126126124)
(100, 8, 1.0, 0.01, 1, 24.324324324324326)
(100, 8, 5.0, 0.05, 0, 26.126126126126124)
(100, 8, 5.0, 0.05, 1, 27.927927927927925)
(100, 8, 10.0, 0.1, 0, 27.927927927927925)
(100, 8, 10.0, 0.1, 1, 21.62162162162162)
(100, 8, 100.0, 1.0, 0, 21.62162162162162)
(100, 8, 100.0, 1.0, 1, 27.927927927927925)
(100, 16, 1e-06, 1e-08, 0, 27.927927927927925)
(100, 16, 1e-06, 1e-08, 1, 27.927927927927925)
(100, 16, 1e-05, 1.0000000000000001e-07, 0, 32.43243256667713)
(100, 16, 1e-05, 1.0000000000000001e-07, 1, 29.729729823701017)
(100, 16, 0.0001, 1e-06, 0, 33.33333337360674)
(100, 16, 0.0001, 1e-06, 1, 32.43243247270584)
(100, 16, 0.001, 1e-05, 0, 27.927928142719438)
(100, 16, 0.001, 1e-05, 1, 27.927928303813076)
(100, 16, 0.01, 0.0001, 0, 27.927927927927925)
(100, 16, 0.01, 0.0001, 1, 27.927927927927925)
(100, 16, 0.1, 0.001, 0, 26.126126126126124)
(100, 16, 0.1, 0.001, 1, 27.927927927927925)
(100, 16, 0.5, 0.005, 0, 26.126126126126124)
(100, 16, 0.5, 0.005, 1, 26.126126126126124)
(100, 16, 1.0, 0.01, 0, 21.62162162162162)
(100, 16, 1.0, 0.01, 1, 26.126126126126124)
(100, 16, 5.0, 0.05, 0, 21.62162162162162)
(100, 16, 5.0, 0.05, 1, 27.927927927927925)
(100, 16, 10.0, 0.1, 0, 24.324324324324326)
(100, 16, 10.0, 0.1, 1, 21.62162162162162)
(100, 16, 100.0, 1.0, 0, 26.126126126126124)
(100, 16, 100.0, 1.0, 1, 26.126126126126124)
(100, 32, 1e-06, 1e-08, 0, 27.927927927927925)
(100, 32, 1e-06, 1e-08, 1, 27.927927927927925)
(100, 32, 1e-05, 1.0000000000000001e-07, 0, 27.927927927927925)
(100, 32, 1e-05, 1.0000000000000001e-07, 1, 27.927927927927925)
(100, 32, 0.0001, 1e-06, 0, 34.234234422176804)
(100, 32, 0.0001, 1e-06, 1, 34.234234328205524)
(100, 32, 0.001, 1e-05, 0, 29.729729998219124)
